SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH_DIST,NEAREST_SCH_RANK,YEAR_SOLD,MONTH_SOLD,Price/land
Craigie,448367.02127659577,3.372340425531915,1.2340425531914894,1.7142857142857142,789.0957446808511,125.92553191489361,1979.9431818181818,20470.212765957447,1802.8617021276596,6025.0,-31.78636506957447,115.76551041489363,1.739663298287234,90.05319148936171,2018.063829787234,6.319148936170213,682.5750275669335
Crawley,955800.0,2.85,1.5,1.6666666666666667,473.8,140.9,1975.75,4975.75,3425.0,6009.0,-31.982108822999997,115.81784416999999,2.9094575778,14.0,2015.55,5.55,3443.573349293782
Currambine,543432.584269663,3.859550561797753,2.0224719101123596,2.0843373493975905,669.7921348314607,186.57303370786516,1998.4907975460123,26636.516853932586,1105.241573033708,6028.0,-31.733029385505617,115.74596693707865,1.6043374716679777,78.08988764044943,2018.252808988764,6.646067415730337,983.7142567294821
Daglish,1044676.7676767677,3.202020202020202,1.7373737373737375,2.0425531914893615,690.2323232323232,171.62626262626262,1961.3578947368421,4616.161616161616,468.52525252525254,6008.0,-31.951293379898992,115.81004983737374,1.1686152477979799,13.080808080808081,2013.090909090909,6.565656565656566,1834.9262073563045
Dalkeith,1951092.3424657534,4.013698630136986,2.287671232876712,2.1549295774647885,947.8219178082192,261.36986301369865,1965.718309859155,7454.7945205479455,3032.876712328767,6009.0,-31.99541510739726,115.79884496849316,2.2198172628630135,5.671232876712328,2016.3287671232877,6.041095890410959,2144.0326582161942
Darch,574450.4378109453,3.9203980099502487,2.0248756218905473,2.136125654450262,544.9154228855722,215.9402985074627,2006.6820512820514,15585.074626865671,5956.7164179104475,6065.0,-31.812703027810944,115.84565828706468,0.7197212106626866,71.26865671641791,2017.3283582089553,6.840796019900497,1097.526561887016
Darling Downs,848750.0,4.205882352941177,2.0588235294117645,3.292307692307692,18302.352941176472,240.7058823529412,1995.4827586206898,29932.352941176472,4801.470588235294,6122.0,-32.193443984411765,115.99832094264706,3.163885485455882,116.0,2014.5882352941176,7.102941176470588,123.56384148775864
Darlington,707432.6923076923,3.753846153846154,1.9076923076923078,2.4545454545454546,2529.630769230769,205.0,1973.4375,21028.46153846154,7653.076923076923,6070.0,-31.91475075530769,116.07681472461539,1.113866302476154,78.0,2017.0461538461539,7.207692307692308,319.66974723917485
Dayton,464128.3783783784,3.445945945945946,1.9864864864864864,2.0833333333333335,834.1621621621622,166.1216216216216,2013.123076923077,15020.27027027027,4609.459459459459,6055.0,-31.85688554364865,115.97126982162162,3.7310556925675677,108.77049180327869,2016.581081081081,6.918918918918919,1205.7003672960889
Dianella,678584.4594594594,3.527027027027027,1.8513513513513513,2.3333333333333335,659.0,207.74324324324326,1989.25,7275.675675675676,5004.054054054054,6059.0,-31.888675177567563,115.87476589459459,1.128643188541892,51.229166666666664,2019.7027027027027,7.783783783783784,1161.5219730017818
Doubleview,836239.5833333334,3.34375,1.8229166666666667,2.2823529411764705,513.6145833333334,174.63541666666666,1984.3626373626373,9619.791666666666,2237.5,6018.0,-31.895549930416667,115.782247075,0.8321442816052084,6.0,2019.1145833333333,7.489583333333333,1816.0113808876647
Duncraig,713762.3655913979,3.795698924731183,1.8387096774193548,2.0804597701149423,710.0,195.91397849462365,1982.1847826086957,15490.322580645161,1550.4516129032259,6023.0,-31.83207768376344,115.77648389247312,1.0266144389204301,47.516129032258064,2019.010752688172,7.720430107526882,1037.8967402949124
East Cannington,507159.2477876106,3.7168141592920354,1.7964601769911503,2.4056603773584904,773.4690265486726,169.1504424778761,1993.3783783783783,11264.601769911504,1480.132743362832,6107.0,-32.00919832584071,115.95781441858406,1.5578589132566372,98.070796460177,2016.9115044247787,7.212389380530974,938.8787730558465
East Fremantle,1122097.5,3.43,1.82,2.1030927835051547,807.29,180.9,1962.98,13095.0,1909.79,6158.0,-32.040819169900004,115.767193685,1.4030685870139998,24.7,2018.44,7.24,2162.609831608194
