Suburb,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,Cluster group
Oakford,0.7692307692307693,0.0,0.08974358974358974,0.07692307692307693,0.0641025641025641,cluster-1
Ocean Reef,0.0,0.0,0.53,0.35,0.12,cluster-3
Oldbury,0.5,0.125,0.125,0.0,0.25,cluster-1
Orange Grove,1.0,0.0,0.0,0.0,0.0,cluster-1
Orelia,0.0,0.0,1.0,0.0,0.0,cluster-3
Osborne Park,0.0,0.0,0.0,1.0,0.0,cluster-4
Padbury,0.0,0.0,0.0,1.0,0.0,cluster-4
Palmyra,0.0,0.0,0.0,0.9240506329113924,0.0759493670886076,cluster-4
Parkerville,1.0,0.0,0.0,0.0,0.0,cluster-1
Parkwood,0.0,0.0,0.0,1.0,0.0,cluster-4
Parmelia,0.0,0.0,1.0,0.0,0.0,cluster-3
Pearsall,0.0,0.0,0.0,1.0,0.0,cluster-4
Peppermint Grove,0.0,0.0,0.0,0.08695652173913043,0.9130434782608695,cluster-5
Piara Waters,0.0,0.0,0.0,1.0,0.0,cluster-4
Pickering Brook,1.0,0.0,0.0,0.0,0.0,cluster-1
Port Kennedy,0.0,0.0,1.0,0.0,0.0,cluster-3
Queens Park,0.0,0.0,0.0,1.0,0.0,cluster-4
Quinns Rocks,0.0,0.0,1.0,0.0,0.0,cluster-3
Redcliffe,0.0,0.0,0.0,1.0,0.0,cluster-4
Ridgewood,0.0,0.0,1.0,0.0,0.0,cluster-3
Riverton,0.0,0.0,0.0,0.9666666666666667,0.03333333333333333,cluster-4
Rivervale,0.0,0.0,0.0,1.0,0.0,cluster-4
Rockingham,0.0,0.0,0.9885057471264368,0.0,0.011494252873563218,cluster-3
Roleystone,1.0,0.0,0.0,0.0,0.0,cluster-1
Rossmoyne,0.0,0.0,0.0,0.3508771929824561,0.6491228070175439,cluster-5
Safety Bay,0.0,0.0,1.0,0.0,0.0,cluster-3
Salter Point,0.0,0.0,0.0,0.3923076923076923,0.6076923076923076,cluster-5
Samson,0.0,0.0,0.0,1.0,0.0,cluster-4
Sawyers Valley,1.0,0.0,0.0,0.0,0.0,cluster-1
Scarborough,0.0,0.0,0.0,0.9,0.1,cluster-4
Secret Harbour,0.0,0.0,1.0,0.0,0.0,cluster-3
Serpentine,0.25842696629213485,0.0449438202247191,0.6966292134831461,0.0,0.0,cluster-3
Seville Grove,1.0,0.0,0.0,0.0,0.0,cluster-1
Shelley,0.0,0.0,0.0,0.5645161290322581,0.43548387096774194,cluster-4
Shenton Park,0.0,0.0,0.0,0.19318181818181818,0.8068181818181818,cluster-5
Shoalwater,0.0,0.0,1.0,0.0,0.0,cluster-3
Sinagra,0.0,0.0,0.39869281045751637,0.6013071895424836,0.0,cluster-4
Singleton,0.0,0.0,1.0,0.0,0.0,cluster-3
Sorrento,0.0,0.0,0.0,0.5520833333333334,0.4479166666666667,cluster-4
South Fremantle,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,cluster-5
South Guildford,0.81875,0.0,0.0,0.175,0.00625,cluster-1
South Lake,0.0,0.0,0.0,1.0,0.0,cluster-4
South Perth,0.0,0.0,0.0,0.4375,0.5625,cluster-5
Southern River,0.225,0.0,0.0,0.7666666666666667,0.008333333333333333,cluster-4
Spearwood,0.0,0.0,0.0,1.0,0.0,cluster-4
St James,0.0,0.0,0.0,1.0,0.0,cluster-4
Stirling,0.0,0.0,0.0,0.8484848484848485,0.15151515151515152,cluster-4
