SUBURB,avg(PRICE),avg(LAND_AREA),avg(FLOOR_AREA),avg(PROPERTY_AGE),avg(PRICE/FLOOR($/m2)),avg(PRICE/LAND($/m2)),avg(Land/Floor)
Carlisle,543074.358974359,483.85897435897436,143.48717948717947,32.01298701298701,4042.585191194997,1260.767612238278,3.684334921559091
Brabham,432820.65079365077,530.6190476190476,171.93650793650792,4.608695652173913,2549.2976379258935,1040.4235525371093,2.8163289035250845
Coolbellup,477543.47826086957,641.2282608695652,129.5326086956522,39.21590909090909,3936.5152465792894,830.9373370021857,5.48048489454602
Byford,423198.3606557377,808.4016393442623,196.99180327868854,9.68695652173913,2169.7685762469373,707.5899920154482,3.888729955196475
Willagee,578239.4736842106,598.5578947368421,157.6,33.49425287356322,4013.398025889205,1044.212292723994,4.352345242172944
Joondanna,624365.6626506024,439.90361445783134,154.59036144578315,35.41975308641975,4262.686740160609,1757.4756094210122,2.9965133540399447
Koondoola,385320.11188811186,717.3426573426574,114.81818181818181,36.919117647058826,3483.896610217175,545.2295792719743,6.505117504770693
Hope Valley,785000.0,14843.0,144.5,32.0,6128.852102188108,57.219104893660955,105.57503723221446
Noranda,582302.8846153846,693.3076923076923,205.54807692307693,31.717171717171716,2941.1130526126776,913.7032509464239,3.5425026878145847
Coogee,790131.2977099237,659.824427480916,240.57251908396947,20.632,3498.461483428683,1263.3530656839525,3.021574034335982
Kinross,500355.1724137931,626.3862068965517,181.18620689655174,20.273504273504273,2810.075238400833,813.097213237217,3.5284553062262245
Mount Lawley,1048551.282051282,537.9230769230769,170.65384615384616,66.64,6223.71044507079,2395.3171470760135,3.111432282348988
Highgate,790883.0263157894,699.921052631579,124.92105263157895,52.18421052631579,6509.799235308963,3003.4766382768194,7.527580312001322
Golden Bay,415339.5061728395,831.1604938271605,172.679012345679,18.61111111111111,2444.5722956245504,640.9622408100603,4.873755502023817
Keysbrook,1027000.0,143887.2,201.8,52.6,5280.435845981013,20.587322487343023,616.7699678185642
Fremantle,859845.0704225352,390.88732394366195,161.5211267605634,53.865671641791046,5662.5228020433115,2427.9811100844963,2.624325668820019
Bickley,990884.6153846154,22654.46153846154,226.34615384615384,41.76,4525.220435138259,163.50520920302304,96.87323086177982
Trigg,1220422.4852941176,724.5808823529412,199.4558823529412,36.08064516129032,6659.077766729191,2146.155962310127,4.186045059701288
Medina,271981.13445378153,762.8319327731092,105.26050420168067,53.24786324786325,2685.539543402785,384.3131060019007,7.789023151137606
Hillarys,930758.4507042253,643.3732394366198,231.95774647887325,26.3,4152.891828055322,1596.1372818381958,3.1063001872531935
Northbridge,721636.3636363636,548.0909090909091,141.63636363636363,42.81818181818182,5248.745508082067,2427.797816773372,4.716348566330979
Wellard,454203.0,3751.835164835165,193.65934065934067,11.08235294117647,2352.4004504554755,655.5634208910349,16.380528395051744
Ashfield,513697.67441860464,629.3953488372093,145.4418604651163,30.064935064935064,3827.726888648797,889.4888865677572,4.713226328380295
East Cannington,507159.2477876106,765.433628318584,170.36283185840708,23.54054054054054,3174.057937515142,943.9280921527067,4.7100242999033455
Mosman Park,1398858.9108910891,568.8217821782179,210.20792079207922,42.214285714285715,7016.06716798215,2654.0595485069985,2.933191119627027
Bayswater,607954.5625,565.6979166666666,157.51041666666666,42.483870967741936,4181.261281398267,1212.8305326014518,4.10932033003346
Quinns Rocks,504741.987654321,647.5432098765432,177.74074074074073,21.55862068965517,2908.940866240629,814.9078283221547,3.9419290866480177
Duncraig,713762.3655913979,710.0,195.91397849462365,36.81521739130435,3875.871324208647,1037.896740294913,4.094581749215501
